naiveGPexp,naiveGPobs,KallusGP,ICM
5.480242375250847,5.469758059104016,1.503778645736468,4.366224828041795
2.6710346194296024,4.174991966406227,5.921646736456094,1.5521548258974562
0.9324478715728529,4.238906458602182,0.7589331417891136,1.6440907101638393
3.7043157224889693,4.911583947725643,6.257329554012053,2.515873436109667
0.7754577701153607,5.002073674245983,1.8543870943669207,1.0522104807436632
1.7233338940496383,4.74060332076465,6.1745449437207975,1.8321811767611456
1.9386945198197498,5.222644678552246,0.4782690788551543,2.219702455859901
0.4329621204265893,4.340769321768114,2.4815542826298937,2.1328794415987806
3.8890476249087316,4.757981021486215,3.95085518882831,3.1972176088229265
3.349843254379835,4.711706340287684,2.645210508643296,3.3675970028792133
6.818682880606426,4.185974071509494,6.239977918026385,5.383735855596601
3.6580041343407803,5.894053789828156,6.937639801004471,1.2611377020630505
2.5512046015751335,4.662996887132489,1.3997611778648533,0.9766285578926633
4.230076294564485,4.424246951908841,0.6330311777561494,2.307294688341962
1.223988671376004,4.4861405520396245,1.0150272032552854,1.1302891635147918
4.986381841229403,4.800295829161182,6.451041402713421,4.707761385460924
1.1648884717051815,4.818346998739285,6.144866156767459,2.122765302632363
3.233736229689389,5.152220186886679,7.217444950146073,1.5698140701844092
1.7651598964185145,5.806307520259817,0.6611434564929409,1.795111193702079
1.7116553988965917,4.39035148317895,3.0011445950834252,1.4096988375234227
1.8981239576097015,4.749859532096802,6.8002048759647495,2.649964442489545
0.9338731598742063,4.244945175088841,6.3299483612688725,0.5053644949997345
2.4139310206404154,4.0542616736134685,5.369742919862146,2.297335908109816
0.6328542408461879,4.684489512240498,1.9792490783370669,1.611983748221888
1.0587588068503933,5.850358794164107,8.05047353791219,1.320324643606666
4.421245991327715,4.45553589719405,2.1240047325490257,3.290378675117266
1.8982407448004868,5.156989335863668,3.149725896828272,1.6990057402525618
0.6989006344181371,4.233691597403317,4.162746112954564,0.6037235031745375
