test_data,length_ICM95,length_ICM90,length_GPobs95,length_GPobs90,length_GPexp95,length_GPexp90
-2.0,1.3743927180608522,1.1535081740867867,1.9282112416990889,1.6183201492831638,1.0545934194392799,0.88510519131511
-1.98,1.3067148725439581,1.096707125170822,1.842176645475071,1.5461125417380064,0.9892447001257838,0.8302589447484259
-1.96,1.2432471204296287,1.0434395475034384,1.7611982810208686,1.478148557285372,0.928906576358846,0.7796180194440314
-1.94,1.1840591246175547,0.9937639081611622,1.6853272677205071,1.4144710996939969,0.8736991971768937,0.7332832547734642
-1.92,1.1292052055589357,0.9477257975226783,1.6145945261231083,1.355106120139037,0.8237030716172924,0.6913222208216561
-1.9,1.0787202092633326,0.9053544613460112,1.5490069491063045,1.30005940371422,0.7789482909584213,0.653760172768675
-1.88,1.0326149604508965,0.8666589846641455,1.4885434679212977,1.249313267719661,0.7394034371124887,0.6205707418622675
-1.8599999999999999,0.9908715729344348,0.8316243558556864,1.4331512680665095,1.2028233856986774,0.70496571157295,0.5916676507844403
-1.8399999999999999,0.9534390153050367,0.800207744988156,1.3827424759514166,1.1605160066020814,0.6754542473856557,0.5668991004843895
-1.8199999999999998,0.9202294341696171,0.7723354179637858,1.3371916786719829,1.1222858731711285,0.6506085976226463,0.5460465015761495
-1.7999999999999998,0.8911157845934934,0.7479007477838249,1.296334639220237,1.0879951436312703,0.6300938385775663,0.5288287573776003
-1.7799999999999998,0.8659312752237063,0.7267637488484677,1.2599685154880178,1.057473575498872,0.6135126004106779,0.5149123610589619
-1.7599999999999998,0.8444709867621736,0.708752435318253,1.2278537803868466,1.0305201371103896,0.6004229342864384,0.503926391276118
-1.7399999999999998,0.8264957780734692,0.6936660994545187,1.199717882459229,1.006906079921139,0.5903597164929195,0.49548047634227177
-1.7199999999999998,0.8117382970785001,0.6812803564765981,1.1752605049808196,0.986379352394616,0.5828566980205632,0.48918330012440125
-1.6999999999999997,0.7999106286751956,0.6713535633523964,1.1541601088670839,0.9686700913705881,0.5774664841605026,0.48465937063470754
-1.6799999999999997,0.7907129053769508,0.6636340455842267,1.1360813129262866,0.9534968162059902,0.5737765049443297,0.4815624237925624
-1.6599999999999997,0.7838421223411842,0.657867495536351,1.1206825974124408,0.9405728942568699,0.5714200601634962,0.4795846933515056
-1.6399999999999997,0.7790004450862105,0.6538039449830695,1.1076238214887884,0.9296128501780903,0.5700824510339759,0.4784620571178013
-1.6199999999999997,0.7759024485893753,0.6512038407803686,1.0965731139625357,0.9203381492185567,0.5695028458239753,0.477975602745122
-1.5999999999999996,0.7742809327198756,0.64984292567561,1.0872128093232742,0.9124821792534625,0.5694728315814124,0.477950412220114
-1.5799999999999996,0.7738911707123783,0.649515803990746,1.0792442324592857,0.9057942665283294,0.5698326466350283,0.4782523998543988
-1.5599999999999996,0.7745136263418488,0.6500382221083374,1.0723912621800056,0.9000426664725047,0.5704659727403829,0.47878394140710695
-1.5399999999999996,0.7759553017010581,0.6512481996419592,1.0664027091786172,0.8950165594891963,0.5712939838205977,0.4794788792780018
-1.5199999999999996,0.7780499480981355,0.6530062064395066,1.0610536199309752,0.8905271452992114,0.5722691619640596,0.4802973323626929
-1.4999999999999996,0.7806573960515002,0.6551946002575089,1.0561456631720108,0.8864079673050806,0.5733692324525403,0.48122060580838205
-1.4799999999999995,0.7836622501721815,0.6577165313945095,1.0515067740120891,0.8825146139030031,0.5745914484315517,0.482246394219338
-1.4599999999999995,0.7869721645860102,0.6604944952775442,1.0469902289134474,0.878723942123786,0.5759473704405353,0.4833844001911636
-1.4399999999999995,0.7905158756472668,0.6634686813468131,1.0424733096112169,0.8749329562808426,0.577458229048605,0.48465244223722204
-1.4199999999999995,0.794241128795564,0.666595233096277,1.0378556917130717,0.8710574555448996,0.5791509217050661,0.4860730950024661
-1.3999999999999995,0.798112600092153,0.6698445036487715,1.0330576688316304,0.8670305434836898,0.5810546699753465,0.48767088372930867
-1.3799999999999994,0.8021098823893058,0.6731993655767388,1.0280182988448503,0.8628010722447852,0.5831983447249303,0.4894700393227093
-1.3599999999999994,0.806225581738194,0.676653613244556,1.0226935371031012,0.8583320757829602,0.585608450677459,0.49149280681858176
-1.3399999999999994,0.810463551112673,0.6802104803981361,1.017054402974349,0.8535992310677571,0.5883077460573083,0.4937582868695265
-1.3199999999999994,0.8148372749388955,0.6838812843237156,1.011085211225737,0.8485893737073147,0.5913144571731395,0.4962817765560277
-1.2999999999999994,0.8193684082969792,0.6876841998206791,1.0047818881966084,0.8432990847364392,0.5946420323158385,0.4990745628365073
-1.2799999999999994,0.8240854680524092,0.6916431606868434,0.9981503840893007,0.8377333580749486,0.598299365324637,0.5021441101831775
-1.2599999999999993,0.8290226687905689,0.6957868827349418,0.9912051865180052,0.8319043529704686,0.6022914078991373,0.5054945744867759
-1.2399999999999993,0.8342188936276909,0.7001480000089546,0.9839679362246951,0.8258302321885838,0.606620082258527,0.5091275690384066
-1.2199999999999993,0.8397167882741039,0.7047623044443374,0.976466143154469,0.8195340844332151,0.6112854026995594,0.5130431058371303
-1.1999999999999993,0.8455619657922187,0.7096680784327547,0.968731999518841,0.8130429281675988,0.6162867160620162,0.5172406366949065
-1.1799999999999993,0.8518023090845945,0.7149055094102847,0.9608012857429999,0.8063867933914466,0.6216239766484669,0.5217201232585348
-1.1599999999999993,0.8584873581232115,0.7205161755676953,0.9527123650624709,0.7995978778202879,0.6272989799473018,0.5264830724557711
-1.1399999999999992,0.8656677691997183,0.7265425920069064,0.9445052627982848,0.7927097741342746,0.6333164905879227,0.5315334831720067
